SMILES,predicted_proxy,novelty,MW
Nc1nc(O)nc(P(=O)(O)O)n1,0.4088,0.6957,192.07
Nc1nc(N)nc(P(=O)(O)O)n1,0.4075,0.5556,191.09
O=P(O)(O)c1ccc(-c2ccccc2)cc1,0.4063,0.2857,234.19
Nc1cc(-c2ccccc2)cc(-c2ccccc2)c1,0.4039,0.4000,245.33
Nc1cc(S(=O)(=O)O)cc(S(=O)(=O)O)c1,0.3965,0.7619,253.26
Oc1nc(O)nc(O)n1,0.3957,0.7692,129.07
O=P(O)(O)c1ccncc1,0.3949,0.4545,159.08
O=P(O)(O)c1ccc2ccccc2c1,0.3939,0.4800,208.15
Nc1nc(N)nc(N)n1,0.3932,0.0000,126.12
O=S(=O)(O)c1nc(O)nc(O)n1,0.3928,0.8519,193.14
Nc1nc(O)nc(O)n1,0.3914,0.5000,128.09
Nc1nc(N)nc(O)n1,0.3900,0.3846,127.11
Nc1cc(N)cc(OP(=O)(O)O)c1,0.3896,0.6667,204.12
Nc1ccccc1P(=O)(O)O,0.3894,0.5600,173.11
Nc1cc(O)cc(OP(=O)(O)O)c1,0.3894,0.7059,205.11
Nc1nc(N)nc(S(=O)(=O)O)n1,0.3887,0.5556,191.17
Nc1nc(O)nc(S(=O)(=O)O)n1,0.3884,0.6957,192.16
Nc1cc(N)cc(P(=O)(O)O)c1,0.3876,0.5833,188.12
O=S(=O)(O)c1cc(O)cc(-c2ccccc2)c1,0.3875,0.6538,250.28
Nc1ccccc1OP(=O)(O)O,0.3874,0.6000,189.11
O=P(O)(O)Oc1ccncc1,0.3863,0.5714,175.08
Nc1cc(O)cc(P(=O)(O)O)c1,0.3845,0.6429,189.11
O=P(O)(O)c1ccccc1,0.3831,0.0000,158.09
O=P(O)(O)c1ccccc1-c1ccccc1,0.3820,0.5385,234.19
O=S(=O)(O)c1cc(S(=O)(=O)O)cc(S(=O)(=O)O)c1,0.3813,0.7143,318.31
O=P(O)(O)c1ccc(P(=O)(O)O)cc1,0.3802,0.2941,238.07
Oc1nc(O)nc(-c2ccccc2)n1,0.3800,0.6000,189.17
O=P(O)(O)c1ccc(S(=O)(=O)O)cc1,0.3796,0.5200,238.16
O=S(=O)(O)c1ccc(Oc2ccccc2)cc1,0.3794,0.4783,250.28
O=P(O)(O)Oc1ccc2ccccc2c1,0.3787,0.5667,224.15
Nc1nc(N)nc(-c2ccccc2)n1,0.3785,0.5789,187.21
Nc1nc(O)nc(-c2ccccc2)n1,0.3773,0.6429,188.19
Nc1ccc(P(=O)(O)O)cc1,0.3760,0.4545,173.11
O=P(O)(O)c1ccccc1P(=O)(O)O,0.3708,0.4500,238.07
O=P(O)(O)c1ccccc1S(=O)(=O)O,0.3703,0.6071,238.16
O=S(=O)(O)c1ccncc1,0.3702,0.7200,159.17
c1ccc(-c2ccncc2)cc1,0.3686,0.4000,155.20
Nc1ccc(OP(=O)(O)O)cc1,0.3679,0.5714,189.11
Oc1cc(-c2ccccc2)cc(-c2ccccc2)c1,0.3574,0.4706,246.31
O=P(O)(O)c1ccc(O)cc1,0.3570,0.4286,174.09
Nc1cc(N)cc(N)c1,0.3557,0.5455,123.16
c1ccc(Oc2ccc(-c3ccccc3)cc2)cc1,0.3539,0.2941,246.31
Nc1ccc2ccccc2c1,0.3524,0.5000,143.19
Nc1ccc(S(=O)(=O)c2ccccc2)cc1,0.3524,0.3000,233.29
Nc1ccccc1S(=O)(=O)O,0.3513,0.6923,173.19
Nc1cc(N)cc(O)c1,0.3510,0.6875,124.14
O=P(O)(O)c1cc(O)cc(O)c1,0.3503,0.5652,190.09
Nc1ccccc1-c1ccccc1,0.3496,0.5455,169.23
Nc1cc(N)cc(-c2ccccc2)c1,0.3492,0.4000,184.24
Nc1cc(N)cc(S(=O)(=O)O)c1,0.3470,0.7619,188.21
O=P(O)(O)Oc1cc(O)cc(O)c1,0.3454,0.6552,206.09
Nc1ccc(-c2ccccc2)cc1,0.3440,0.0000,169.23
O=S(=O)(O)c1cc(O)cc(S(=O)(=O)O)c1,0.3424,0.7600,254.24
Nc1cc(O)cc(O)c1,0.3420,0.6875,125.13
O=P(O)(O)Oc1ccccc1O,0.3416,0.5556,190.09
Nc1cc(O)cc(-c2ccccc2)c1,0.3409,0.5200,185.23
O=P(O)(O)c1ccccc1O,0.3393,0.5217,174.09
Nc1cc(O)cc(S(=O)(=O)O)c1,0.3388,0.8000,189.19
Nc1ccc(Oc2ccccc2)cc1,0.3371,0.3333,185.23
O=P(O)(O)Oc1ccccc1,0.3349,0.2727,174.09
Nc1ccc(S(=O)(=O)O)cc1,0.3340,0.5556,173.19
O=P(O)(O)Oc1ccc(O)cc1,0.3293,0.5556,190.09
N#Cc1cc(-c2ccccc2)cc(P(=O)(O)O)c1,0.3219,0.5625,259.20
